indexnumber;maincategori;kategori;beskrivelse;Less_than;greater_than;Efter_dato;Før_dato;
1;Internal;Internal;*Fælles ko*;;;;;
2;Internal;Internal;*Fra Grundkto Nordea*;;;;;
3;Internal;Internal;*From Grundkto Nordea           Prioritet*;;;;;
4;Internal;Internal;*From Grundkto Nordea*;;;;;
5;Internal;Internal;*Forbrug*;;;;;
6;Internal;Internal;*Fra Nordea Bil*;;;;;
7;Internal;Internal;*From Nordea Bil*;;;;;
8;Internal;Internal;*Grundkonto - fælles*;;;;;
9;Internal;Internal;*Til Grundkonto - fæl*;;;;;
10;Internal;Internal;Overførsel;;;;;
11;Internal;Internal;*From Nordea Bil*;;;;;
12;Internal;Internal;*vognnr: 545286*;;;;;
13;Internal;Internal;Renter;;;;;
14;Internal;Internal;Aconto ompr. kto.;;;;;
15;Internal;Internal;Afkast til, konto nr. 6291 322 008;;;;;
16;Internal;Internal;Ferie hævning;;;;;
17;Internal;Internal;Ovf. til, konto nr. 8983-152-539;;;;;
18;Internal;Internal;Ovf. fra, konto nr. 6893-354-199;;;;;
19;Internal;Internal;*måneds forbrug*;;;;;
20;Hus;Realkreditlån;*NORDEA KREDIT - REAL*;;;;;
21;Hus;Realkreditlån;OVF. 9031566654;;;;;
22;Hus;Grundskyld;*EJENDOMSSKAT*;;;;;
23;Underholdning;Streaming - Netflix;*NETFLIX*;;;;;
24;Underholdning;Streaming - Spotify;*Spotify*;;;;;
25;Underholdning;Streaming - Youtube Premium;*YouTubePremi*;;;;;
26;Underholdning;Streaming - Amazon Prime;*AMZNPrime*;;;;;
27;Underholdning;Streaming - HBO Max;*HBO MAX*;;;;;
28;Underholdning;Streaming - HBO Max;*hbomax.com*;;;;;
29;Underholdning;Streaming - ParamountPlus;*VIACOMCBS*;;;;;
30;Underholdning;Streaming - ParamountPlus;*0109D   Amsterdam*;;;;;
31;Underholdning;Streaming - Viaplay;*Viaplay*;;;;;
32;Underholdning;Software og spil;*Legetøj*;;;;;
33;Underholdning;Software og spil;*BUDDY LEGETOEJ*;;;;;
34;Underholdning;Software og spil;*NABU CASA*;;;;;
35;Underholdning;Software og spil;*APPLE.COM*;;;;;
36;Underholdning;Software og spil;*Nintendo*;;;;;
37;Underholdning;Software og spil;*Audials*;;;;;
38;Underholdning;Software og spil;*KINGUINDIGI*;;;;;
39;Transport;Bilvask;*IMO Tilst*;;;;;
40;Transport;Afbetaling bil;*OVF. 4396801138*;;;;;
41;Transport;Afbetaling bil;*OVF. 9024376580*;;;;;
42;Transport;Brændstof;*OK.DK*;;-100;;;
43;Transport;Brændstof;*SHELL*;;-100;;;
44;Transport;Brændstof;*Aral Station*;;-100;;;
45;Transport;Brændstof;*BP Tankstelle*;;-100;;;
46;Transport;Brændstof;*Agip Service*;;-100;;;
47;Transport;Brændstof;*OK A.M.B.A.*;;-100;;;
48;Transport;Brændstof;*OK SB Galten*;;-100;;;
49;Transport;Brændstof;*OK SKOVBY*;;-100;;;
50;Transport;Brændstof;*Tankstelle*;;-100;;;
51;Transport;Brændstof;*Agip*;;-100;;;
52;Transport;Brændstof;AMICABILE RITA D.I.;;-100;;;
53;Transport;Brændstof;2270 ES1 VR PESCHIER;;-100;;;
54;Transport;Brændstof;CIRCLE K;;-100;;;
55;Transport;Brændstof;*TOTAL SERVICE*;;-100;;;
56;Transport;Strøm - Elbil;*HOMECHARGE*;;;;;
57;Transport;Strøm - Elbil;*CLEVER*;;;;;
58;Transport;FDM - Autohjælp;*betaling FDM*;;;;;
59;Transport;Parkering;*EasyPark*;;;;;
60;Transport;Parkering;*APCOA*;;;;;
61;Transport;Parkering;*PARKERINGSAUTOMATER;;;;;
62;Transport;Service og reparation Passat;*SKOVBY SYNSHAL*;;;;01-08-2022;
63;Transport;Service og reparation Passat;*LEO RASMUSSEN*;;;;01-08-2022;
64;Transport;Service og reparation Tesla;*TESLA MOTORS*;;;;;
65;Transport;Service og reparation Tesla;*TESLAFI*;;;;;
66;Transport;Service og reparation Tesla;*Tesla Inc*;;;;;
67;Transport;Service og reparation Mercedes;*Mercedes Me*;;;01-08-2022;;
68;Transport;Service og reparation Mercedes;*SKOVBY SYNSHAL*;;;01-08-2022;;
69;Transport;Service og reparation Hobby;*BM. Caravanserv*;;;;;
70;Forsyning;Renovation;*RENOSYD*;;;;;
71;Forsyning;Vand;*GALTEN VANDVÆRK*;;;;;
72;Forsyning;Vand;*Bs betaling SKANDERBORG, FORSYNI*;;;;;
73;Forsyning;Varme;*GALTEN VARMEVÆRK*;;;;;
74;Forsyning;Strøm;*EWII*;;;;;
75;Børn;Børnehave og SFO;*SKANDERBORG KOMMUNE*;;;;;
76;Børn;Børneopsparing;*Børneopspari*;;;;;
77;Faste udgifter;Mobil;*Bs betaling AARHUS BOLIG*;;;;;
78;Faste udgifter;Mobil;*TELMORE*;;;;;
79;Faste udgifter;Mobil;*telenor.dk*;;;;;
80;Faste udgifter;Mobil;*3´s Kortbetali*;;;;;
81;Faste udgifter;Vinduespudser;*LJ Polering*;;;;;
82;Faste udgifter;Sygeforsikring danmark;*SYGEFORSIKRINGEN DAN*;;;;;
83;Faste udgifter;A-Kasse;*AKADEMIKERNES A-KASS*;;;;;
84;Faste udgifter;Fagforening;*IDA INGENIØRFORE*;;;;;
85;Faste udgifter;Fagforening;*Bs betaling DJØF*;;;;;
86;Faste udgifter;Mail og domæne;*DK HOSTMASTER*;;;;;
87;Faste udgifter;Tøj;*H&M*;;;;;
88;Faste udgifter;Tøj;*HM*;;;;;
89;Faste udgifter;Tøj;*Hummel Kids*;;;;;
90;Faste udgifter;Tøj;*Zizzi*;;;;;
91;Faste udgifter;Tøj;*Zalando*;;;;;
92;Faste udgifter;Tøj;*BESTSELLER*;;;;;
